station_name,id,station_id,latitude,longitude,capacity
Kenton Ave & Madison St,537,a3b13836-a135-11e9-9cda-0a87ae2ba916,41.88042,-87.74108,11
Damen Ave & Madison St,13134,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,41.88137,-87.67493,15
Western Ave & Lunt Ave,RP-005,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,42.0085943972,-87.6904922389,15
Menard Ave & Milwaukee Ave,24478,2020809814916515864,41.98139,-87.77331,16
Western Ave & 43rd St,24245,1943244109954931024,41.81574,-87.68489,15
Damen Ave & 59th St,561,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,41.785861065132,-87.67414391040802,11
Rush St & Cedar St,KA1504000133,a3a72012-a135-11e9-9cda-0a87ae2ba916,41.90230870122,-87.627690528,11
Spaulding Ave & 63rd,21349,1934290380966283526,41.7791655,-87.7056392,15
Western Ave & Walton St,KA1504000103,a3ac9d43-a135-11e9-9cda-0a87ae2ba916,41.89841768945,-87.6865960164,23
Homan Ave & 26th St,24230,1975902497437067330,41.84425,-87.70983,15
Drake Ave & Montrose Ave,KA1504000097,a3af9a83-a135-11e9-9cda-0a87ae2ba916,41.96115407569,-87.7165690733,15
Kilbourn Ave & Roscoe St,21360,1869054242749504212,41.942722,-87.739557,15
Knox Ave & Marquette Ave,24146,1945195957167804800,41.77114,-87.73774,15
La Villita Park,21336,1943245395846580390,41.83925,-87.70202,15
Fairfield Ave & 44th St,21380,1934289944388426278,41.813617,-87.6932272,15
Cottage Grove Ave & 63rd St,KA1503000054,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,41.78053094070882,-87.6059702038765,15
Jeffery Blvd & 67th St,KA1503000030,a3ac35ed-a135-11e9-9cda-0a87ae2ba916,41.77351755125,-87.5771428255,11
Karlov Ave & Armitage Ave,23190,1867616662773391950,41.91748,-87.728952,15
Western Ave & Lake St,24211,1967727360320698512,41.88481,-87.68668,15
State St & 35th St,TA1307000129,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,41.8310363140161,-87.62679755687714,15
Milwaukee Ave & Cuyler Ave,16991,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,41.954468,-87.749594,11
Southport Ave & Waveland Ave,13235,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,41.948226,-87.6640712,24
University Ave & 59th St,22003,1850868044363584392,41.787878,-87.598906,15
Parkside Ave & Armitage Ave,21354,1871993715238611622,41.916907,-87.767173,15
Ashland Ave & 63rd St,16948,a3b23785-a135-11e9-9cda-0a87ae2ba916,41.779374,-87.664843,11
Paulina Ave & North Ave,TA1305000037,a3a3b202-a135-11e9-9cda-0a87ae2ba916,41.90985465216731,-87.66993016004562,15
Kedzie Ave & 24th St,KA1504000086,a3addda0-a135-11e9-9cda-0a87ae2ba916,41.848193,-87.705412,11
Lavergne Ave & Division St,21304,1928792940289520096,41.9021077,-87.7508698,15
Damen Ave & 74th St,16951,a3b24701-a135-11e9-9cda-0a87ae2ba916,41.759274039331224,-87.67363429069519,11
Ravenswood Ave & Irving Park Rd,TA1307000149,a3a8804b-a135-11e9-9cda-0a87ae2ba916,41.95469,-87.67393,19
St Louis Ave & 59th St,21387,1936552461714393094,41.78589,-87.71057,15
Racine Ave & 35th St,15446,a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,41.83068856472101,-87.65621066093445,15
Menard Ave & Lawrence Ave,24369,1969236968943731106,41.96788,-87.77274,16
Halsted St & 59th St,593,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,41.787539,-87.644874,11
Mies van der Rohe Way & Chestnut St,15529,a3a62566-a135-11e9-9cda-0a87ae2ba916,41.8985866514,-87.6219152258,19
Lincoln Ave & Melrose St,TA1309000042,a3a5de24-a135-11e9-9cda-0a87ae2ba916,41.9406,-87.669435,15
Campbell Ave & North Ave,13257,a3a6e359-a135-11e9-9cda-0a87ae2ba916,41.910535,-87.689556,15
Clark St & Leland Ave,TA1309000014,a3aab5c1-a135-11e9-9cda-0a87ae2ba916,41.96708783918421,-87.66729086637497,19
Western Ave & Winnebago Ave,13068,a3a58ee0-a135-11e9-9cda-0a87ae2ba916,41.91552,-87.687022,15
2112 W Peterson Ave,KA1504000155,a3af2216-a135-11e9-9cda-0a87ae2ba916,41.991178,-87.683593,11
Dodge Ave & Main St,E011,a3b377cb-a135-11e9-9cda-0a87ae2ba916,42.03463185161588,-87.69918769598006,15
Lockwood Ave & Wrightwood Ave,21312,1872721624592814362,41.927766,-87.758544,15
Ashland Ave & Belle Plaine Ave,13249,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,41.956057,-87.668835,11
Ashland Ave & 66th St,16950,a3b241df-a135-11e9-9cda-0a87ae2ba916,41.774074,-87.663815,7
Laflin St & Cullerton St,13307,a3a7cd56-a135-11e9-9cda-0a87ae2ba916,41.85491457576575,-87.66355991363525,15
Clark St & Jarvis Ave,517,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,42.015963,-87.675005,11
Lavergne Ave & Lawrence Ave,24371,1969204473221170122,41.96775,-87.75259,15
Stony Island Ave & 90th St,20236,7e435d2a-617e-4c3f-bed0-a8801c20f265,41.731394943302355,-87.58574366569519,15
Halsted St & Wrightwood Ave,TA1309000061,a3ac2671-a135-11e9-9cda-0a87ae2ba916,41.929143,-87.649077,15
Clark St & Grace St,TA1307000127,a3a6fcac-a135-11e9-9cda-0a87ae2ba916,41.95078,-87.659172,23
Southport Ave & Clybourn Ave,TA1309000030,a3aa4f80-a135-11e9-9cda-0a87ae2ba916,41.9215759,-87.6664335,15
Woodlawn Ave & 58th St,22002,1850867138125484782,41.789381,-87.596479,11
Lincoln Ave & Addison St,TA1309000050,a3aaca0e-a135-11e9-9cda-0a87ae2ba916,41.946176,-87.673308,19
Streeter Dr/Grand Ave,PI00002,1866476559603607834,41.892401,-87.612388,4
Woodlawn Ave & 55th St,TA1307000164,a3a89488-a135-11e9-9cda-0a87ae2ba916,41.795264,-87.596471,19
Ashland Ave & Garfield Blvd,16943,a3b21de7-a135-11e9-9cda-0a87ae2ba916,41.792822,-87.664429,11
Phillips Ave & 83rd St,582,a3b29a90-a135-11e9-9cda-0a87ae2ba916,41.744531,-87.56506,11
Wells St & Randolph St,TA1305000030,a3a46896-a135-11e9-9cda-0a87ae2ba916,41.884295,-87.633963,27
Leavitt St & Armitage Ave,TA1309000029,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,41.917805,-87.682437,11
Daley Center Plaza,TA1306000010,a3a4ea00-a135-11e9-9cda-0a87ae2ba916,41.884241,-87.629634,39
Benson Ave & Church St,596,a3b2e20c-a135-11e9-9cda-0a87ae2ba916,42.048214,-87.683485,15
Sheridan Rd & Columbia Ave,660,a3b49122-a135-11e9-9cda-0a87ae2ba916,42.004583,-87.661406,15
Bernard St & Elston Ave,18016,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,41.949923,-87.713949,11
Marshfield Ave & 59th St,560,a3b22815-a135-11e9-9cda-0a87ae2ba916,41.786833,-87.666215,11
Sawyer Ave & Irving Park Rd,KA1504000096,a3afb917-a135-11e9-9cda-0a87ae2ba916,41.95358617895,-87.7093107999,15
Griffin Museum of Science and Industry,KA1503000074,a3ad8587-a135-11e9-9cda-0a87ae2ba916,41.79172820953,-87.583945009,27
Grace St & Central Ave,23164,1929121521556988340,41.9495327,-87.7672648,15
